ID,Name,Address,Neighborhood,Category,HOLC Grade,Years Active
G0001,Community,"2368 7th Ave, Manhattan",Central Harlem North-Polo Grounds,Auto Loan,D,1940
G0003,Ace Auto Supply,"207 St Nicholas Ave, Manhattan",Central Harlem South,Auto Shop,D,"1937,1961,1962"
G0004,Eighth Avenue Auto Painting & Body Shop,"306 W 143rd street, Manhattan",Central Harlem North-Polo Grounds,Auto Shop,D,"1937,1961,1962"
G0005,Gene's Auto Repairs,"414 W 155th St, Manhattan",Hamilton Heights,Auto Shop,C,"1937,1961,1962"
G0006,H. G. Facey,"705 Lenox Ave, Manhattan",Central Harlem North-Polo Grounds,Auto Shop,Outside Zone,"1937,1961,1962"
G0007,J. Jones General Auto Repairs,"120 W 145th Street, Manhattan",Central Harlem North-Polo Grounds,Auto Shop,D,"1937,1941,1961,1962"
G0009,"The Caswell Motor Co, INC","651 West 125th St, Manhattan",Manhattanville,Automotive,Outside Zone,1949
G0010,J. Jones General Auto Repairs,"120 W 145th St, Manhattan",Central Harlem North-Polo Grounds,Automotive,D,1939
G0011,Savoy Tire Shop,"612 Lenox Ave, Manhattan",Central Harlem North-Polo Grounds,Automotive,D,"1939,1941"
G0012,Allens,"147 W 145th St, Manhattan",Central Harlem North-Polo Grounds,Automotive,D,1941
G0013,Andy Radiator,"416 W 127th St, Manhattan",Manhattanville,Automotive,Outside Zone,1941
G0016,Daly Bros.,"485 St Nicholas Ave, Manhattan",Manhattanville,Automotive,D,1941
G0017,L. Martinez,"612 Lenox Ave, Manhattan",Central Harlem North-Polo Grounds,Automotive,D,1941
G0018,Meisel Tire,"2079 7th Ave, Manhattan",Central Harlem South,Automotive,D,1941
G0019,Nathan Auto,"34 W 145 St, Manhattan",Central Harlem North-Polo Grounds,Automotive,Outside Zone,1941
G0020,Simons Supply,"133 W 145th St, Manhattan",Central Harlem North-Polo Grounds,Automotive,D,1941
G0022,W. J. McAvoy,"703 Lenox Ave, Manhattan",Central Harlem North-Polo Grounds,Automotive,Outside Zone,1941
G0023,Gorden Seale,"155 W 145th St, Manhattan",Central Harlem North-Polo Grounds,Automotive,D,1941
G0027,A. McCargo,"242 W 145th St, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,1941
G0028,B. Garrett,"2311 7th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,"1941,1947,1948,1949,1950"
G0029,Bob Cary's Barber Shop,"2521 8th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,"1939,1941,1947,1948,1949,1950,1951,1952,1953"
G0030,Davis,"69 W 138th St, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,"1941,1947,1948,1949,1950,1951,1952,1953,1954"
G0031,Delux Barber Shop,"2799 8th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,"1939,1941,1947,1948"
G0032,Edean,"237 W 145th St, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,1941
G0033,Eldorado,"203 W 116th St, Manhattan",Central Harlem South,Barber Shop,D,"1941,1947"
G0034,Esquire,"2265 7th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,"1941,1953,1954,1955"
G0035,H. Parks,"200 W 146th St, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,1941
G0036,Hi-Hat,"2276 7th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,"1941,1947,1948,1949,1951,1953"
G0037,Hoghie Rayford,"2013 7th Ave, Manhattan",Central Harlem South,Barber Shop,D,"1941,1947,1948,1949,1951,1953"
G0038,,"2395 8th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,1941
G0039,Leon & Teddy's,"253 W 145th St, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,1941
G0040,Lud,"166 W 116th St, Manhattan",Central Harlem South,Barber Shop,D,1941
G0041,Manhattan,"2456 8th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,1941
G0043,Old Manhattan Barber Shop,"2356 8th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,1939
G0044,Park Lane,"2206 7th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,1941
G0045,Renaissance Barber Shop,"2349 7th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,"1939,1941,1948,1949,1950,1951,1952,1953,1954,1955"
G0046,Roal,"749 St Nicholas Ave, Manhattan",Hamilton Heights,Barber Shop,D,1941
G0047,Roxy,"2322 7th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,"1941,1947"
G0048,Spooner's,"2435 8th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,"1941,1948,1949,1951,1952,1953"
G0049,Spooner's Barber Shop,"2435 8th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,"1939,1941,1947"
G0050,Sportsman's Barber Shop,"2224 7th Ave, Manhattan",Central Harlem North-Polo Grounds,Barber Shop,D,"1947,1950"
